[ 200] x=    0, y=  32767
[ 201] x=    0, y=  11776
[ 202] x= 30687, y=  11776
[ 203] x= 30687, y=     0
[ 204] x= 32767, y=     0
[ 205] x= 32767, y= -13784
[ 206] x= 29906, y= -13784
[ 207] x= 29906, y= -32767
[ 208] x=    0, y= -32767
[ 209] x=    0, y= -13784
[ 210] x=-29951, y= -13784
[ 211] x=-29951, y=     0
[ 212] x=-32767, y=     0
[ 213] x=-32767, y=  11776
[ 214] x=-30719, y=  11776
[ 215] x=-30719, y=  32767
[ 216] x=    0, y=  32767
[ 217] x=    0, y=  11776
[ 218] x= 30687, y=  11776
[ 219] x= 30687, y=     0
[ 220] x= 32767, y=     0
[ 221] x= 32767, y= -13784
[ 222] x= 29906, y= -13784
[ 223] x= 29906, y= -32767
[ 224] x=    0, y= -32767
[ 225] x=    0, y= -13784
[ 226] x=-29951, y= -13784
[ 227] x=-29951, y=     0
[ 228] x=-32767, y=     0
[ 229] x=-32767, y=  11776
[ 230] x=-30719, y=  11776
[ 231] x=-30719, y=  32767
[ 232] x=    0, y=  32767
[ 233] x=    0, y=  11776
[ 234] x= 30687, y=  11776
[ 235] x= 30687, y=     0
[ 236] x= 32767, y=     0
[ 237] x= 32767, y= -13784
[ 238] x= 29906, y= -13784
[ 239] x= 29906, y= -32767
[ 240] x=    0, y= -32767
[ 241] x=    0, y= -13784
[ 242] x=-29951, y= -13784
[ 243] x=-29951, y=     0
[ 244] x=-32767, y=     0
[ 245] x=-32767, y=  11776
[ 246] x=-30719, y=  11776
[ 247] x=-30719, y=  32767
[ 248] x=    0, y=  32767
[ 249] x=    0, y=  11776
[ 250] x= 30687, y=  11776
[ 251] x= 30687, y=     0
[ 252] x= 32767, y=     0
[ 253] x= 32767, y= -13784
[ 254] x= 29906, y= -13784
[ 255] x= 29906, y= -32767
[ 256] x=    0, y= -32767
[ 257] x=    0, y= -13784
[ 258] x=-29951, y= -13784
[ 259] x=-29951, y=     0
[ 260] x=-32767, y=     0
[ 261] x=-32767, y=  11776
[ 262] x=-30719, y=  11776
[ 263] x=-30719, y=  32767
[ 264] x=    0, y=  32767
[ 265] x=    0, y=  11776
[ 266] x= 30687, y=  11776
[ 267] x= 30687, y=     0
[ 268] x= 32767, y=     0
[ 269] x= 32767, y= -13784
[ 270] x= 29906, y= -13784
[ 271] x= 29906, y= -32767
[ 272] x=    0, y= -32767
[ 273] x=    0, y= -13784
[ 274] x=-29951, y= -13784
[ 275] x=-29951, y=     0
[ 276] x=-32767, y=     0
[ 277] x=-32767, y=  11776
[ 278] x=-30719, y=  11776
[ 279] x=-30719, y=  32767
[ 280] x=    0, y=  32767
[ 281] x=    0, y=  11776
[ 282] x= 30687, y=  11776
[ 283] x= 30687, y=     0
[ 284] x= 32767, y=     0
[ 285] x= 32767, y= -13784
[ 286] x= 29906, y= -13784
[ 287] x= 29906, y= -32767
[ 288] x=    0, y= -32767
[ 289] x=    0, y= -13784
[ 290] x=-29951, y= -13784
[ 291] x=-29951, y=     0
[ 292] x=-32767, y=     0
[ 293] x=-32767, y=  11776
[ 294] x=-30719, y=  11776
[ 295] x=-30719, y=  32767
[ 296] x=    0, y=  32767
[ 297] x=    0, y=  11776
[ 298] x= 30687, y=  11776
[ 299] x= 30687, y=     0
[ 300] x= 32767, y=     0
[ 301] x= 32767, y= -13784
[ 302] x= 29906, y= -13784
[ 303] x= 29906, y= -32767
[ 304] x=    0, y= -32767
[ 305] x=    0, y= -13784
[ 306] x=-29951, y= -13784
[ 307] x=-29951, y=     0
[ 308] x=-32767, y=     0
[ 309] x=-32767, y=  11776
[ 310] x=-30719, y=  11776
[ 311] x=-30719, y=  32767
[ 312] x=    0, y=  32767
[ 313] x=    0, y=  11776
[ 314] x= 30687, y=  11776
[ 315] x= 30687, y=     0
[ 316] x= 32767, y=     0
[ 317] x= 32767, y= -13784
[ 318] x= 29906, y= -13784
[ 319] x= 29906, y= -32767
[ 320] x=    0, y= -32767
[ 321] x=    0, y= -13784
[ 322] x=-29951, y= -13784
[ 323] x=-29951, y=     0
[ 324] x=-32767, y=     0
[ 325] x=-32767, y=  11776
[ 326] x=-30719, y=  11776
[ 327] x=-30719, y=  32767
[ 328] x=    0, y=  32767
[ 329] x=    0, y=  11776
[ 330] x= 30687, y=  11776
[ 331] x= 30687, y=     0
[ 332] x= 32767, y=     0
[ 333] x= 32767, y= -13784
[ 334] x= 29906, y= -13784
[ 335] x= 29906, y= -32767
[ 336] x=    0, y= -32767
[ 337] x=    0, y= -13784
[ 338] x=-29951, y= -13784
[ 339] x=-29951, y=     0
[ 340] x=-32767, y=     0
[ 341] x=-32767, y=  11776
[ 342] x=-30719, y=  11776
[ 343] x=-30719, y=  32767
[ 344] x=    0, y=  32767
[ 345] x=    0, y=  11776
[ 346] x= 30687, y=  11776
[ 347] x= 30687, y=     0
[ 348] x= 32767, y=     0
[ 349] x= 32767, y= -13784
[ 350] x= 29906, y= -13784
[ 351] x= 29906, y= -32767
[ 352] x=    0, y= -32767
[ 353] x=    0, y= -13784
[ 354] x=-29951, y= -13784
[ 355] x=-29951, y=     0
[ 356] x=-32767, y=     0
[ 357] x=-32767, y=  11776
[ 358] x=-30719, y=  11776
[ 359] x=-30719, y=  32767
[ 360] x=    0, y=  32767
[ 361] x=    0, y=  11776
[ 362] x= 30687, y=  11776
[ 363] x= 30687, y=     0
[ 364] x= 32767, y=     0
[ 365] x= 32767, y= -13784
[ 366] x= 29906, y= -13784
[ 367] x= 29906, y= -32767
[ 368] x=    0, y= -32767
[ 369] x=    0, y= -13784
[ 370] x=-29951, y= -13784
[ 371] x=-29951, y=     0
[ 372] x=-32767, y=     0
[ 373] x=-32767, y=  11776
[ 374] x=-30719, y=  11776
[ 375] x=-30719, y=  32767
[ 376] x=    0, y=  32767
[ 377] x=    0, y=  11776
[ 378] x= 30687, y=  11776
[ 379] x= 30687, y=     0
[ 380] x= 32767, y=     0
[ 381] x= 32767, y= -13784
[ 382] x= 29906, y= -13784
[ 383] x= 29906, y= -32767
[ 384] x=    0, y= -32767
[ 385] x=    0, y= -13784
[ 386] x=-29951, y= -13784
[ 387] x=-29951, y=     0
[ 388] x=-32767, y=     0
[ 389] x=-32767, y=  11776
[ 390] x=-30719, y=  11776
[ 391] x=-30719, y=  32767
[ 392] x=    0, y=  32767
[ 393] x=    0, y=  11776
[ 394] x= 30687, y=  11776
[ 395] x= 30687, y=     0
[ 396] x= 32767, y=     0
[ 397] x= 32767, y= -13784
[ 398] x= 29906, y= -13784
[ 399] x= 29906, y= -32767
[ 400] x=    0, y= -32767
[ 401] x=    0, y= -13784
[ 402] x=-29951, y= -13784
[ 403] x=-29951, y=     0
[ 404] x=-32767, y=     0
[ 405] x=-32767, y=  11776
[ 406] x=-30719, y=  11776
